Model,TOPSIS Score,Rank
DialoGPT-S,0.7561391336361896,1
DialoGPT-L,0.26672109626996415,2
BlenderBot,0.24386086636381052,3
GPT2-Chat,0.7191091217521082,4
DialoGPT-M,0.7040411702336372,5
